movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,audience_count,review_content,cleaned_content,keywords,combined_keywords
The Nut Job 2: Nutty by Nature,"Surly the squirrel and his animal friends find out that the corrupt mayor of Oakton plans to bulldoze their beloved Liberty Park to make way for an amusement park. Hoping to save the place they call home, Surly, Andie, Buddy and the rest of the gang join forces with Mr. Feng, a seemingly cute and innocent mouse who happens to be a fierce master of kung fu.","The Nut Job 2: Nutty by Nature may be a slight improvement over its predecessor, but its frantic animated antics still offer minimal entertainment to all but the least discriminating viewers.",PG,"Animation, Comedy, Kids & Family",Cal Brunker,"Cal Brunker, Bob Barlen, Scott Bindley","Will Arnett, Katherine Heigl, Maya Rudolph, Jackie Chan, Sebastian Maniscalco, Jeff Dunham, Robert Tinkler, Bobby Moynihan, Gabriel Iglesias, Bobby Cannavale, Peter Stormare",7256.0,"It has all the traits that made The Nut Job so completely pointless-complicated non-story, dull characters, lame sight gags, lamer puns-then ups the ante with an in-your-face nastiness, stomping and bellowing at the top of its obnoxious voice.",it has all the traits that made the nut job so completely pointless complicated non story dull characters lame sight gags lamer puns then ups the ante with an in your face nastiness stomping and bellowing at the top of its obnoxious voice ,nut job voice nastiness pointless complicated non story dull,"nut job voice nastiness pointless complicated non story dull Animation, Comedy, Kids & Family"
The Ottoman Lieutenant,"A strong-willed woman, frustrated by ongoing injustice at home, leaves the United States after meeting Jude, an American doctor who runs a remote medical mission within the Ottoman Empire -- a world both exotic and dangerous, and on the brink of what is about to become the first World War. There, she finds her loyalty tested to both Jude and the mission's founder when she falls in love with their perceived enemy, a lieutenant in the Ottoman Imperial Army.",,NR,Drama,Joseph Ruben,Jeff Stockwell,"Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley, Paul Barrett",820.0,I'm sympathetic to the filmmakers whose craftsmanship went into the movie. Absent historical context this would be adequate light far... but the weak script/dialog and narrative retcon can't be ignored and spoils their efforts.,i m sympathetic to the filmmakers whose craftsmanship went into the movie absent historical context this would be adequate light far but the weak script dialog and narrative retcon can t be ignored and spoils their efforts ,m sympathetic weak script dialog light craftsmanship went narrative retcon,m sympathetic weak script dialog light craftsmanship went narrative retcon Drama
The Raid 2,"After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal life. However, his exploits during that fateful incident have attracted the attention of criminals even more deadly than the last. His family at risk, Rama has no choice but to go under cover. He gets himself thrown in prison, where he befriends the son of a prominent crime kingpin. Rama must lay his own life on the line to finally destroy the criminal empire.","Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.",R,Action & Adventure,Gareth Evans,Gareth Evans,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara, Tio Pakusadewo, Alex Abbad, Julie Estelle, Cok Simbara, Ryuhei Matsuda, Kenichi Endo, Kazuki Kitamura, Tio Pakusodewo, Very Tri Yulisman",24253.0,"Sumptuously shot, perfectly paced and flat-out exhilarating, The Raid 2 cements Evans as the best action director working today. Fight aficionados should brace themselves for a bruising, blistering ride.",sumptuously shot perfectly paced and flat out exhilarating the raid 2 cements evans as the best action director working today fight aficionados should brace themselves for a bruising blistering ride ,sumptuously shot perfectly paced cements evans raid ride,sumptuously shot perfectly paced cements evans raid ride Action & Adventure
The Shed,"A teen and his best friend endure nonstop torment from bullies at school, but that soon changes when one discovers a bloodthirsty creature that resides in a country shed.",,NR,"Horror, Mystery & Suspense",Frank Sabatella,Frank Sabatella,"Jay Jay Warren, Cody Kostro, Sofia Happonen, Timothy Bottoms, Siobhan Fallon Hogan, Frank Whaley",52.0,It operates on familiar tropes ... and then it twists it in very dark directions. It's just unfortunate it ultimately devolves into a stereotypical battle with an ancient evil.,it operates on familiar tropes and then it twists it in very dark directions it s just unfortunate it ultimately devolves into a stereotypical battle with an ancient evil ,familiar tropes stereotypical battle dark directions ultimately devolves evil,"familiar tropes stereotypical battle dark directions ultimately devolves evil Horror, Mystery & Suspense"
The Square,"Ray (David Roberts), a construction worker trapped in an unhappy marriage, pursues an affair with his neighbor, Carla (Claire van der Boom). Carla's husband, Greg (Anthony Hayes), is a mobster who keeps large sums of drug money in their home. With this in mind, Carla comes up with a plan: She and Ray will steal Greg's money, burn down her house, convince Greg the money was lost in the fire and then run away together. Carla's scheme, however, doesn't go off as planned.","The Square may not quite live up to the modern noir classics that inspired it, but with twists and tension to spare, it comes admirably close.",R,"Action & Adventure, Documentary, Mystery & Suspense, Special Interest",Nash Edgerton,"Joel Edgerton, Matthew Dabner","Joel Edgerton, Anthony Hayes, David Roberts, Claire van der Boom, Lucy Bell, Kieran Darcy-Smith, Brendan Donoghue, Hanna Mangan Lawrence, Peter Phelps, Bill Hunter, Damon Herriman, Lisa Bailey",3651.0,"told elegantly, intelligently, and with the violent moral code of an angry Old Testament deity for whom right and wrong are absolutes to be toyed with at one's peril",told elegantly intelligently and with the violent moral code of an angry old testament deity for whom right and wrong are absolutes to be toyed with at one s peril,told elegantly intelligently violent moral code angry old testament deity,"told elegantly intelligently violent moral code angry old testament deity Action & Adventure, Documentary, Mystery & Suspense, Special Interest"
The Wife,"Joan and Joe remain complements after nearly 40 years of marriage. Where Joe is casual, Joan is elegant. Where Joe is vain, Joan is self-effacing. And where Joe enjoys his very public role as the great American novelist, Joan pours her considerable intellect, grace, charm and diplomacy into the private role of a great man's wife. As Joe is about to be awarded the Nobel Prize for his acclaimed and prolific body of work, Joan starts to think about the shared compromises, secrets and betrayals.","The Wife relies on the strength of Glenn Close's performance to drive home the power of its story -- and she proves thoroughly, grippingly up to the task.",R,Drama,Björn Runge,,"Glenn Close, Jonathan Pryce, Max Irons, Christian Slater, Annie Starke, Elizabeth McGovern, Johan Widerberg, Karin Franz-Körlof, Anna Azcárate, Peter Forbes, Fredric Gildea, Jane Garda, Alix Wilton Regan, Mattias Nordkvist, Suzanne Bertish, Grainne Keenan, Isabelle Von Meyenburg, Morgane Polanski, Twinnie Lee Moore, John Moraitis, Michael Benz, Johanna Andersson, Catharina Christie, Carolin Stoltz, Håkan Pettersson, Ben Bradley, Ossian Skarsgård",2304.0,The Wife becomes a series of heated arguments with each one acting more and more as an awakening to no longer stay devoted to a narcissist emotionally abusing her and holding her down; Glenn Close is at the top of her game,the wife becomes a series of heated arguments with each one acting more and more as an awakening to no longer stay devoted to a narcissist emotionally abusing her and holding her down glenn close is at the top of her game,heated arguments narcissist emotionally abusing glenn close longer stay devoted,heated arguments narcissist emotionally abusing glenn close longer stay devoted Drama
The Young Unknown,An aspiring filmmaker (Devon Gummersall) gets into a heated fight with his friend (Eion Bailey) after consuming alcohol and drugs.,A movie about uninteresting people doing uninteresting things.,R,Drama,Catherine Jelski,Catherine Jelski,"Arly Jover, Devon Gummersall, Eion Bailey, Leslie Bibb, Dale Godboldo, Simon Templeman",,The writing and the lead performance of Devon Gummersall in Catherine Jelski's The Young Unknowns makes this spoiled rich kid movie almost tolerable.,the writing and the lead performance of devon gummersall in catherine jelski s the young unknowns makes this spoiled rich kid movie almost tolerable ,lead performance young unknowns makes catherine jelski rich kid movie,lead performance young unknowns makes catherine jelski rich kid movie Drama
Tomboy,A 10-year-old girl (Zoé Héran) moves into a new neighborhood and decides to dress like a boy.,"In tune with the emotion and tribulations of childhood, Tomboy is a charming movie that treats its main subject with warmth and heart.",NR,"Art House & International, Drama",Céline Sciamma,Céline Sciamma,"Zoé Héran, Jeanne Disson, Malonn Lévana, Sophie Cattani, Mathieu Demy, Yohan Véro, Noah Véro, Cheyenne Lainé, Ryan Boubekri",8313.0,"Cline Sciamma's film is titled Tomboy, but the gender issues it delves into are more complex than any supposedly unfeminine preferences for sports and pants-wearing and other associations that linger around that antiquated term.",cline sciamma s film is titled tomboy but the gender issues it delves into are more complex than any supposedly unfeminine preferences for sports and pants wearing and other associations that linger around that antiquated term ,cline sciamma pants wearing term gender issues titled tomboy,"cline sciamma pants wearing term gender issues titled tomboy Art House & International, Drama"
Twelve and Holding,"Of identical twin brothers Jacob (Conor Donovan) and Rudy, the latter is the more outgoing, serving as de facto leader of their group of friends. The brothers ignite the ire of some local bullies, who come to take revenge, and Rudy dies. Jacob, his parents, friends and the community must find a way to deal with their grief.","This shocking pre-teen drama manages, through realistic performances and a sense of empathy, to avoid exploitation and instead deliver something honest and haunting.",R,Drama,Michael Cuesta,Anthony Cipriano,"Conor Donovan, Jesse Camacho, Zoe Weizenbaum, Linus Roache, Annabella Sciorra, Jeremy Renner, Jayne Atkinson, Tom McGowan, Marcia DeBonis, Michael Fuchs, Adam LeFevre, Mark Linn-Baker, Bruce Altman, Martin Campetta, Joseph Foster, Tony Roberts, Marcella Lowery, Jodie Markell, Bianca Ryan, Jessica Sorto, Julia Ryan, Terry Urdang, Robertson Carricat, Michael Siravo, Emilio Cuesta",19713.0,"The children are operating without a safety net or a script typed with kid gloves, and that makes it all the more easy to fear for and sympathize with them, even as the plot takes outlandish twists.",the children are operating without a safety net or a script typed with kid gloves and that makes it all the more easy to fear for and sympathize with them even as the plot takes outlandish twists ,safety net script typed kid gloves twists,safety net script typed kid gloves twists Drama
Underworld: Awakening,"In the years since she and her human-lycan lover, Michael, defeated Elder Marcus, vampire warrior Selene (Kate Beckinsale) has been taken captive by humans, while they wage an all-out war against both lycans and vampires. Awakening after more than a decade, Selene discovers that Michael is dead, but that she has given birth to his daughter, Eve. Shunned by nearly all surviving vampires, save one (Theo James), even Selene seems powerless against her latest opponent: a genetically enhanced lycan.","There's more vapid action and less story in Underworld Awakening than previous installments, making the whole affair feel inconsequential.",R,"Action & Adventure, Horror, Science Fiction & Fantasy","Björn Stein, Måns Mårlind","John Hlavin, Allison Burnett, J. Michael Straczynski, Len Wiseman","Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James, India Eisley, Sandrine Holt, Charles Dance, Kristen Holden-Ried, Jacob Blair, Adam Greydon Reid, Catlin Adams, Robert Lawrenson, Lee Majdoub, John Innes, Tyler McClendon, Panou, Ian Rozylo, Benita Ha, Christian Tessier, Kurt Max Runte, Mark Gibbon, Richard Cetrone, Dan Payne",98541.0,Brief but pointless and so incredibly preposterous and ponderous that it feels like an exceptionally weak fan-fiction piece than a professionally-produced screenplay,brief but pointless and so incredibly preposterous and ponderous that it feels like an exceptionally weak fan fiction piece than a professionally produced screenplay,incredibly preposterous weak fan fiction screenplay feels like,"incredibly preposterous weak fan fiction screenplay feels like Action & Adventure, Horror, Science Fiction & Fantasy"
